"disease","causal_organism","time_of_occurence","incidence","place_of_occurence","reference","img_file"
"Ramie moth infestation","Cocytodes coerulea Guenée (Ramie moth)","During the vegetative growth phase of ramie (up to four generations per year in central and south China)","Can cause severe yield reduction due to leaf and shoot damage","China (mainly central and southern regions)","Zeng, L., Shen, A., Chen, J., Yan, Z., Liu, T., Xue, Z., & Yu, Y. (2016). Transcriptome Analysis of Ramie (Boehmeria nivea L. Gaud.) in Response to Ramie Moth (Cocytodes coerulea Guenée) Infestation. BioMed Research International, 2016, 3702789. https://doi.org/10.1155/2016/3702789","[View Image](https://raw.githubusercontent.com/BarsatKhadka/Precision-Agriculture-monoRepo/main/ramie-disease-dataset/images/ramie_moth_damage.jpg)"
"Curvularia leaf blight","Curvularia eragrostidis","June to November","10–18%","Ramie Research Station, Sorbhog, Assam, India","Gawande, Shailesh; Sharma, A.K.; & Satpathy, Satyaram. (2016). Occurrence Of New Pest And Disease In Ramie (Boehmeria Nivea L. Gaud) Germplasm Under North Eastern Conditions. Biotech Today: An International Journal of Biological Sciences, 6(1), 21–28. https://doi.org/10.5958/2322-0996.2016.00002.8.","[View Image](https://raw.githubusercontent.com/BarsatKhadka/Precision-Agriculture-monoRepo/main/ramie-disease-dataset/images/curvularia_leaf_blight.jpg)"
"Indian red admiral caterpillar","Vanessa indica Herbst","November to February","10–30%","Ramie Research Station, Sorbhog, Assam, India","Gawande, Shailesh; Sharma, A.K.; & Satpathy, Satyaram. (2016). Occurrence Of New Pest And Disease In Ramie (Boehmeria Nivea L. Gaud) Germplasm Under North Eastern Conditions. Biotech Today: An International Journal of Biological Sciences, 6(1), 21–28. https://doi.org/10.5958/2322-0996.2016.00002.8.","[View Image](https://raw.githubusercontent.com/BarsatKhadka/Precision-Agriculture-monoRepo/main/ramie-disease-dataset/images/indian_red_admiral_caterpillar.jpg)"
"Leaf folder / Leaf roller","Spodoptera sp.","Throughout the year","5–25%","Ramie Research Station, Sorbhog, Assam, India","Gawande, Shailesh; Sharma, A.K.; & Satpathy, Satyaram. (2016). Occurrence Of New Pest And Disease In Ramie (Boehmeria Nivea L. Gaud) Germplasm Under North Eastern Conditions. Biotech Today: An International Journal of Biological Sciences, 6(1), 21–28. https://doi.org/10.5958/2322-0996.2016.00002.8.","[View Image](https://raw.githubusercontent.com/BarsatKhadka/Precision-Agriculture-monoRepo/main/ramie-disease-dataset/images/leaf_folder.jpg)"
"Epilachna beetle","Cheilomenes sexmaculata (F.) / Micraspis discolor (F.)","March to August","5–25%","Ramie Research Station, Sorbhog, Assam, India","Gawande, Shailesh; Sharma, A.K.; & Satpathy, Satyaram. (2016). Occurrence Of New Pest And Disease In Ramie (Boehmeria Nivea L. Gaud) Germplasm Under North Eastern Conditions. Biotech Today: An International Journal of Biological Sciences, 6(1), 21–28. https://doi.org/10.5958/2322-0996.2016.00002.8.","[View Image](https://raw.githubusercontent.com/BarsatKhadka/Precision-Agriculture-monoRepo/main/ramie-disease-dataset/images/epilachna_beetle.jpg)"
"Hairy caterpillar","Spilosoma obliqua","January to April","2–5%","Ramie Research Station, Sorbhog, Assam, India","Gawande, Shailesh; Sharma, A.K.; & Satpathy, Satyaram. (2016). Occurrence Of New Pest And Disease In Ramie (Boehmeria Nivea L. Gaud) Germplasm Under North Eastern Conditions. Biotech Today: An International Journal of Biological Sciences, 6(1), 21–28. https://doi.org/10.5958/2322-0996.2016.00002.8.","[View Image](https://raw.githubusercontent.com/BarsatKhadka/Precision-Agriculture-monoRepo/main/ramie-disease-dataset/images/hairy_caterpillar.jpg)"
"Leaf beetle","Pachnephorous bretinghami Baly","May to August","5–30%","Ramie Research Station, Sorbhog, Assam, India","Gawande, Shailesh; Sharma, A.K.; & Satpathy, Satyaram. (2016). Occurrence Of New Pest And Disease In Ramie (Boehmeria Nivea L. Gaud) Germplasm Under North Eastern Conditions. Biotech Today: An International Journal of Biological Sciences, 6(1), 21–28. https://doi.org/10.5958/2322-0996.2016.00002.8.","[View Image](https://raw.githubusercontent.com/BarsatKhadka/Precision-Agriculture-monoRepo/main/ramie-disease-dataset/images/leaf_beetle.png)"
"Termite","Microtermes sp.","Throughout year","5–50%","Ramie Research Station, Sorbhog, Assam, India","Gawande, Shailesh; Sharma, A.K.; & Satpathy, Satyaram. (2016). Occurrence Of New Pest And Disease In Ramie (Boehmeria Nivea L. Gaud) Germplasm Under North Eastern Conditions. Biotech Today: An International Journal of Biological Sciences, 6(1), 21–28. https://doi.org/10.5958/2322-0996.2016.00002.8.","[View Image](https://raw.githubusercontent.com/BarsatKhadka/Precision-Agriculture-monoRepo/main/ramie-disease-dataset/images/termite.jpg)"
"White grub","Lepidiota sp.","April to May","– (outbreak since 2012)","Ramie Research Station, Sorbhog, Assam, India","Gawande, Shailesh; Sharma, A.K.; & Satpathy, Satyaram. (2016). Occurrence Of New Pest And Disease In Ramie (Boehmeria Nivea L. Gaud) Germplasm Under North Eastern Conditions. Biotech Today: An International Journal of Biological Sciences, 6(1), 21–28. https://doi.org/10.5958/2322-0996.2016.00002.8.","[View Image](https://raw.githubusercontent.com/BarsatKhadka/Precision-Agriculture-monoRepo/main/ramie-disease-dataset/images/white_grub.jpg)"
"Black fungus beetle","Alphitobius piceus Olivier","Seed storage","–","Ramie Research Station, Sorbhog, Assam, India","Gawande, Shailesh; Sharma, A.K.; & Satpathy, Satyaram. (2016). Occurrence Of New Pest And Disease In Ramie (Boehmeria Nivea L. Gaud) Germplasm Under North Eastern Conditions. Biotech Today: An International Journal of Biological Sciences, 6(1), 21–28. https://doi.org/10.5958/2322-0996.2016.00002.8.","[View Image](https://raw.githubusercontent.com/BarsatKhadka/Precision-Agriculture-monoRepo/main/ramie-disease-dataset/images/black_fungus_beetle.jpg)"
